Id,Company,Symbol,Stock.Exchange,Ticker,country,Currency,zip_code,Industry,NUTS3,Quarter,Changes.in.Working.Capital,Gross.Profit,Total.Operating.Expense,Total.Revenue,Working.capital,ROA,EBIDTA,debt.to.EBITDA,Debt.Equity.Ratio,Debt.Ratio,EBITDA.Margin,Return.on.Equity,Working_capital_trend,Profit.Trend,Revenue_trend,Employment..number.of.persons.employed.,Volume.index.of.production,Trade_Volume,Stock_close,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,GDP..in.Million.Euro.,Average.Age,Deaths...total,Persons.per.square.kilometre,Population.on.1.January...total,Current.Ratio,Quick.Ratio,Operating.Cashflow,Net.Profit.Margin,Debtors.days.sales,equity_skewness,equity_kurtosis,Death_rate,GDP_per_Capita,stock_trade_amount,Target
1,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q1,-747.6981416,674.9087698,3756.671818,4135.0337,-513.8111502,0.011687856,559.5256029,10.20061436,0.912601098,0.725528471,0.135313432,0.032434565,-0.992597054,-0.040822415,-0.02481789,109.6,53.85,433.3333333,8.714790026,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.951699343,0.92609322,-126.4,0.06422537,1.978235608,-0.396024148,-0.521684792,0.005789155,67195.94192,3776.409011,0
2,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q2,-747.6981416,674.9087698,3756.671818,4135.0337,-513.8111502,0.011687856,559.5256029,10.20061436,0.912601098,0.725528471,0.135313432,0.032434565,0,0,0,108.8,55.9,183.3333333,9.846119881,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.951699343,0.92609322,-126.4,0.06422537,1.978235608,-0.396024148,-0.521684792,0.005789155,67195.94192,1805.121978,0
3,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q3,-331.6104567,768.2817553,3265.911718,3647.974754,-115.9695077,0.012986507,573.999065,7.645196285,0.837241858,0.742342509,0.157347324,0.038614487,-0.774295463,0.138349048,-0.117788386,108.8,58.3,0,10.22959646,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.98856638,0.96619208,1850.5,0.089692245,2.02020256,-0.396024148,-0.521684792,0.005789155,67195.94192,0,0
4,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q4,-331.6104567,768.2817553,3265.911718,3647.974754,-115.9695077,0.012986507,573.999065,7.645196285,0.837241858,0.742342509,0.157347324,0.038614487,0,0,0,108.8,56.55,233.3333333,11.20712821,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.98856638,0.96619208,1850.5,0.089692245,2.02020256,-0.396024148,-0.521684792,0.005789155,67195.94192,2614.996582,0
5,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2020-Q1,-667.5064608,505.175123,5251.418776,3624.988637,369.7907874,-0.131163721,-1400.693479,-3.631593879,1.450775955,0.791966528,-0.386399412,-0.48766621,-4.188689809,-0.342461122,-0.006301063,109.6,52.85,166.6666667,8.034087658,7121,0,0,7121,10473.39025,35.3773086,910.4982057,9896.853078,157277,1.048152532,1.021738395,-622.5,-0.462392749,1.604868612,-0.396024148,-0.521684792,0.005789138,66592.00169,1339.01461,1
6,WPP PLC,0WP,BE,0WP.BE,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2020-Q2,-667.5064608,505.175123,5251.418776,3624.988637,369.7907874,-0.131163721,-1400.693479,-3.631593879,1.450775955,0.791966528,-0.386399412,-0.48766621,0,0,0,110.5,35.55,550,6.581884225,27670,0,0,27670,8705.441966,35.3773086,910.4982057,9896.853078,157277,1.048152532,1.021738395,-622.5,-0.462392749,1.604868612,-0.396024148,-0.521684792,0.005789138,55351.01742,3620.036324,1
7,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q1,-747.6981416,674.9087698,3756.671818,4135.0337,-513.8111502,0.011687856,559.5256029,10.20061436,0.912601098,0.725528471,0.135313432,0.032434565,-0.992597054,-0.040822415,-0.02481789,109.6,53.85,15316.66667,8.797740619,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.951699343,0.92609322,-126.4,0.06422537,1.978235608,-0.51468294,0.462655467,0.005789155,67195.94192,134752.0605,0
8,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q2,-747.6981416,674.9087698,3756.671818,4135.0337,-513.8111502,0.011687856,559.5256029,10.20061436,0.912601098,0.725528471,0.135313432,0.032434565,0,0,0,108.8,55.9,14682.33333,9.809976578,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.951699343,0.92609322,-126.4,0.06422537,1.978235608,-0.51468294,0.462655467,0.005789155,67195.94192,144033.3461,0
9,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q3,-331.6104567,768.2817553,3265.911718,3647.974754,-115.9695077,0.012986507,573.999065,7.645196285,0.837241858,0.742342509,0.157347324,0.038614487,-0.774295463,0.138349048,-0.117788386,108.8,58.3,14394.33333,10.10751311,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.98856638,0.96619208,1850.5,0.089692245,2.02020256,-0.51468294,0.462655467,0.005789155,67195.94192,145490.9128,0
10,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2019-Q4,-331.6104567,768.2817553,3265.911718,3647.974754,-115.9695077,0.012986507,573.999065,7.645196285,0.837241858,0.742342509,0.157347324,0.038614487,0,0,0,108.8,56.55,11335.33333,11.23669147,0,0,0,0,10539.34751,35.18943065,908,9869.698303,156845,0.98856638,0.96619208,1850.5,0.089692245,2.02020256,-0.51468294,0.462655467,0.005789155,67195.94192,127371.6433,0
